subj	order	list	item	condition	sentence	question	correct_answer	response
999	0	1	6	GoodExp	Right-to-die activists believe it should be legal to perform euthanasia.	NA	NA	2	0.8112426998559386
999	1	1	152	SemCrit	"He loves me?" she wondered, plucking off a daisy pedal.	NA	NA	2	6.217311900109053
999	2	1	59	Sem	This docile herbivorous aquatic mammal is known as a stimulation.	NA	NA	2	2.832700700033456
999	3	1	38	Control	One window on the dilapidated house was missing a shutter.	NA	NA	2	1.8138260000851005
999	4	1	189	Filler	The doctor carefully inspected the blood sample through a microscope.	NA	NA	2	0.9271223000250757
999	5	1	201	Filler	As the population ages, more adults find themselves becoming caregivers.	NA	NA	2	0.8339890998322517
999	6	1	63	Filler	Without painkillers, the agony from her injury was utterly unbearable.	NA	NA	2	2.878438000101596
999	7	1	73	Filler	For their date, the couple went to a nice restaurant.	NA	NA	2	1.4402751999441534
999	8	1	70	Filler	The reported bribery was just the tip of the iceberg.	NA	NA	1	1.0884878998622298
999	9	1	112	Synt	No light escapes the black hole once within this radii.	NA	NA	1	1.9030983000993729
999	10	1	108	Filler	Gossip about the celebrity scandal was paraded through the tabloids.	NA	NA	3	1.7383916000835598
999	11	1	199	Filler	I found her fascination with the deaths just plain morbid.	NA	NA	3	1.172856300137937
999	12	1	163	Filler	The teacher's experience as a counselor gave her valuable insight.	NA	NA	3	0.9159437001217157
999	13	1	43	Sem	The study of sounds in language is known as leisure.	NA	NA	3	1.1083191998768598
999	14	1	20	Filler	You should write all your appointments down in your calendar.	NA	NA	4	1.1023701999802142
999	15	1	179	Filler	The film accentuated the awkward silence with a chirping cricket.	NA	NA	4	0.65376490005292
999	16	1	117	Filler	The flood victims were airlifted to safety by rescue helicopters.	NA	NA	4	0.6877377999480814
999	17	1	114	Filler	She loved bread and always dreamed of opening a bakery.	NA	NA	4	0.6764163000043482
999	18	1	17	Filler	Regulating interstate trade is a job of the federal government.	NA	NA	4	0.6104449001140893
999	19	1	38	GoodExp	Malnutrition results when the body does not get enough nutrients.	NA	NA	4	0.7153048999607563
999	20	1	128	Filler	The judge ordered the audience to stop disrupting the proceedings.	Was the audience being unruly? 	Yes	1	2.1087340998928994
999	21	1	37	Filler	The thoroughbred racing horse was ridden by an experienced jockey.	NA	NA	3	1.0633385998662561
999	22	1	203	Filler	A society ruled or dominated by women is a matriarchy.	Does the sentence mention social dominance? 	Yes	1	2.600821299944073
999	23	1	38	Filler	He felt the meeting was pointless, but attendance was mandatory.	NA	NA	3	0.9242624999023974
999	24	1	160	SemCrit	Don't call it a prison; call it a correctional fallacy.	NA	NA	4	1.0603805999271572
