subj	order	list	item	condition	sentence	question	correct_answer	response
444	0	1	4	Filler	The ruling regime did not tolerate any real political opposition.	NA	NA	1	0.7219261000864208
444	1	1	146	Filler	Stagnant water is the perfect breeding ground for a mosquito.	NA	NA	1	0.8031305000185966
444	2	1	21	GoodExp	The lighthouse built on the rocky coast prevented many shipwrecks.	NA	NA	1	2.1867569000460207
444	3	1	127	Filler	The runner ran every day to train for the marathon.	NA	NA	1	0.7910886998288333
444	4	1	242	Filler	To garner support for the war, the government issued propaganda.	NA	NA	1	0.6449888995848596
444	5	1	10	Control	Political corruption and economic hardship fueled a growing anti-government sentiment.	NA	NA	1	0.8323059999383986
444	6	1	173	Filler	Because the snake is highly poisonous, it is brightly colored.	NA	NA	1	0.49366019992157817
444	7	1	2	Filler	To succeed, you must be more than just a dreamer.	NA	NA	1	0.39758089976385236
444	8	1	101	Filler	He slipped but luckily grabbed onto the handrail by reflex.	Did he lose his footing? 	Yes	2	3.697544800117612
444	9	1	87	Filler	Reading regularly is the best way to improve your vocabulary.	NA	NA	1	0.8441201001405716
444	10	1	225	Filler	Barely able to stand the suspense, she quivered with anticipation.	NA	NA	1	0.7357386997900903
444	11	1	53	Filler	She left the snuffed out cigarette smoldering in the ashtray.	NA	NA	1	0.6613568998873234
444	12	1	101	Synt	The museum pass provides five dollars off of each admissions.	Does the pass apply to only one admission? 	No	2	2.9095681998878717
444	13	1	224	Filler	Her beauty enthralled him and filled his heart with longing.	NA	NA	1	0.6092362003400922
444	14	1	4	Control	Mediators prevented the dispute from escalating into a violent altercation.	NA	NA	1	0.6486383001320064
444	15	1	126	SemCrit	After she deceived her mother, she had a guilty consciousness.	NA	NA	2	1.5348292998969555
444	16	1	152	SemCrit	"He loves me?" she wondered, plucking off a daisy pedal.	NA	NA	1	0.9361748001538217
444	17	1	239	Filler	The rich old woman left her grandson a large inheritance.	NA	NA	2	0.5817804001271725
444	18	1	153	SemCrit	Rather than reducing violence, the intervention just caused an escalator.	NA	NA	1	0.4877713001333177
444	19	1	229	Filler	The surgeon asked the nurse to hand him a scalpel.	NA	NA	2	0.40401479974389076
444	20	1	90	Synt	He had a short attention span and needed constant stimulations.	NA	NA	1	0.7570235999301076
444	21	1	47	Sem	The heat felt even worse because of all this catalyst.	NA	NA	1	0.3985954998061061
444	22	1	110	Filler	To keep healthy, do aerobic exercises like running or jogging.	NA	NA	1	0.6469437000341713
444	23	1	35	GoodExp	The meaning of the poem was left open to interpretation.	NA	NA	1	1.7979102996177971
444	24	1	30	GoodExp	A gust of wind blew the newspaper down the street.	Was the street windy? 	Yes	1	1.4381896001286805
444	25	1	247	Filler	The woman used the ATM to make a cash withdrawal.	NA	NA	1	0.7420712001621723
444	26	1	31	GoodExp	The reader was drawn in by the article's sensational headline.	NA	NA	1	0.748121100012213
444	27	1	23	Filler	The artist carved a block of marble into a sculpture.	NA	NA	1	0.6436708001419902
444	28	1	122	SemCrit	The slogan "change" was a focus of that presidential champagne.	NA	NA	1	0.41601649997755885
444	29	1	86	Filler	The speedy roadrunner always managed to evade the hungry coyote.	NA	NA	1	0.5137439002282917
444	30	1	216	Filler	At approximately age twelve, children begin to go through puberty.	NA	NA	1	0.4469349002465606
444	31	1	106	Filler	The manager worked to cut out waste and increase efficiency.	NA	NA	1	0.47364450013265014
444	32	1	168	Filler	The detective dusted the glass to reveal the criminal's fingerprint.	NA	NA	1	4.5418155998922884
444	33	1	38	GoodExp	Malnutrition results when the body does not get enough nutrients.	NA	NA	1	0.5187488999217749
444	34	1	28	GoodExp	She felt reading someone else's diary was an unforgivable intrusion.	NA	NA	1	1.4902337999083102
