ItemNum,Condition,Sentence,Question,Answer
121,Control,The celebrating couple joyfully popped open a bottle of champagne.,Were they happy? ,Yes
122,Control,"The slogan ""change"" was a focus of that presidential campaign.",Was the focal point a specific policy? ,No
123,Control,A syllogism is a common form of a deductive inference.,Does the sentence mention a reptile? ,No
124,Control,The napalm turned the luscious forest into a fiery inferno.,Was the forest fire started by campers? ,No
125,Control,I blacked out and was confused when I regained consciousness.,Was I disoriented when I awoke? ,Yes
126,Control,"After she deceived her mother, she had a guilty conscience.",Was she proud of her trickery? ,No
127,Control,The sudden change in protocol had caused all this consternation.,Was the transition gradual? ,No
128,Control,The Big Dipper may perhaps be the most famous constellation.,Do many people know about it? ,Yes
129,Control,The herd of cows was out grazing in a pasture.,Was it a herd of horses? ,No
130,Control,The congregation listens to a sermon delivered by a pastor.,Are the people listening? ,Yes
131,Control,A soldier fighting for the highest bidder is a mercenary.,Is the fighter motivated by nationalism? ,No
132,Control,The devout Christian girl travelled to India as a missionary.,Was the traveller religious? ,Yes
133,Control,That white dog with little black spots is a dalmatian.,Was the creature a canine? ,Yes
134,Control,"Once Faust signed, he was doomed to this eternal damnation.",Was his fate permanent? ,Yes
135,Control,The crowded urban neighborhood had a very high population density.,Was the district basically deserted? ,No
136,Control,I control my fate; I don't have a predetermined destiny.,Am I a victim of fortune? ,No
137,Control,"She didn't answer the phone, so I left a message.",Did she pick up? ,No
138,Control,My back was so tense I really needed a massage.,Was my problem stiff joints? ,No
139,Control,The president of the college handed each graduate a diploma.,Was the president at the graduation? ,Yes
140,Control,The ambassador who negotiated the deal was a skilled diplomat.,Was the bargain worked out by a senator?  ,No
141,Control,The retiree found he soon tired of all this leisure.,Did he retire because he was tired? ,No
142,Control,His personality was dramatically altered after acquiring this brain lesion.,Was the alteration noticeable? ,Yes
143,Control,The low intensity workout compensated by having a long duration.,Was the exercise intense? ,No
144,Control,"He idolized her, and her self-esteem benefited from this adoration.",Did he like her? ,Yes
145,Control,Yuan emperors were Mongolian because Kublai Khan founded this dynasty.,Were the rulers Mongolian? ,Yes
146,Control,That grenade explodes stronger than a stick of this dynamite.,Is that an explosive weapon? ,Yes
147,Control,"The contraction for ""it is"" needs to include an apostrophe.","Is ""it's"" a valid contraction? ",Yes
148,Control,The doomsday preacher urged repentance and warned of an apocalypse.,Was the preacher advocating temperance? ,No
149,Control,The soldier rammed gunpowder down the barrel of a musket.,Did the soldier have a gun? ,Yes
150,Control,Two common semi-aquatic rodents are a beaver and a muskrat.,Are these animals fairly common? ,Yes
151,Control,"To make the car accelerate, press down on this pedal.",Will doing this stop the car? ,No
152,Control,"""He loves me?"" she wondered, plucking off a daisy petal.",Was she certain that he loved her?,No
153,Control,"Rather than reducing violence, the intervention just caused an escalation.",Did the intervention work as planned? ,No
154,Control,She scolded the child for running backwards up an escalator.,Did the woman scold the child? ,Yes
155,Control,"Intestinal problems may indicate a tapeworm, a type of parasite.",Can worms cause digestion problems? ,Yes
156,Control,"To protect herself from the sun, she carried a parasol.",Was she trying to avoid getting wet? ,No
157,Control,"Considering my previous experiences, I had a rather low expectation.",Did I have any past experience? ,Yes
158,Control,Blizzards are deadly hazards for explorers on an arctic expedition.,Can the weather be dangerous? ,Yes
159,Control,Claiming two wrongs make a right is a common fallacy.,Do people make this claim often? ,Yes
160,Control,Don't call it a prison; call it a correctional facility.,Is it a theme park? ,No
1,Sem,Someone who has fought in a war is a rhinestone.,Does the sentence mention a war? ,Yes
2,Sem,The woman brought her sick pet dog to a carton.,Was the animal a canine? ,Yes
3,Sem,The vintage wedding dress was big and required an inferno.,Was the gown too small? ,No
4,Sem,Mediators prevented the dispute from escalating into a violent muskrat.,Was there a disagreement? ,Yes
5,Sem,The storyteller could turn any incident into an amusing hearse.,Does the sentence mention a storyteller? ,Yes
6,Sem,She saved him from the poison by administering a matinee.,Did she save him by amputating? ,No
7,Sem,Clownfish have evolved invulnerability to the poison tentacles of ornaments.,Are the fish specially adapted? ,Yes
8,Sem,The upscale apartment was complete with all these modern lymph.,Did the residence need an upgrade? ,No
9,Sem,The flooded river fertilized the fields with a rich juggler.,Did the river overflow its banks? ,Yes
10,Sem,Political corruption and economic hardship fueled a growing anti-government dalmatian.,Were people increasingly pro-government? ,No
11,Sem,Up on the tree branch perched a bright red masquerade.,Does the sentence mention a tree? ,Yes
12,Sem,There is a beanbag toss game booth at this destruction.,Were the beanbags for a game? ,Yes
13,Sem,The reagents reacted faster in the presence of an anecdote.,Was the reaction rate increased? ,Yes
14,Sem,"After hours of playing, the guitarist's fingertips developed a pasture.",Did the musician play the guitar? ,Yes
15,Sem,Pikemen can be an effective defense against a charging stipulation.,Does the sentence mention a fish? ,No
16,Sem,The dentist congratulated me on not having a single petal.,Did the dentist scold me? ,No
17,Sem,After my root canal the dentist prescribed a pain balcony.,Did the dentist write a prescription? ,Yes
18,Sem,The monk sat quietly and fell into a deep arsenal.,Was the monk seated? ,Yes
19,Sem,Her grandmother's pennies inspired her to start a coin parasol.,Does the sentence mention a grandmother? ,Yes
20,Sem,The teacher interrupted his sentence to make a grammatical mercenary.,Was he interrupted by a fire alarm? ,No
21,Sem,An intense tension headache can be mistaken for an empire.,Does the sentence mention a headache? ,Yes
22,Sem,Harvesting crops is often the job of a seasonal massage.,Does the sentence mention a skyscraper? ,No
23,Sem,"The zoo had two giraffes, an elephant, and a carburetor.",Does the sentence mention a zebra? ,No
24,Sem,The child wore a glittery crown with a pink captain.,Was the child wearing a top hat? ,No
25,Sem,The cause of death must be determined by a dynasty.,Was the reason for the death already known? ,No
26,Sem,His office is down at the end of this arsenic.,Does he have an office? ,Yes
27,Sem,Statisticians emphasize that causation is not implied by a hypotenuse.,Does the sentence mention statistics? ,Yes
28,Sem,The king knelt to be crowned at an official parasite.,Was the monarch crowned while standing? ,No
29,Sem,The moth attracted a mate by releasing a potent admonition.,Did the insect attract a mate? ,Yes
30,Sem,The archeologists found the mummy of a young Egyptian hearth.,Was the mummy discovered by a paleontologist? ,No
31,Sem,The student went to medical school to become a cardinal.,Was the student a medical student? ,Yes
32,Sem,A new gravitational theory was proposed by an eminent campaign.,Was the new theory about psychology? ,No
33,Sem,Blinking causes a momentary pupil contraction followed by a mutiny.,Does the sentence mention the iris? ,No
34,Sem,The bleach is too concentrated and requires a one-in-five shudder.,Is the bleach too concentrated? ,Yes
35,Sem,"The whining alarm shut off, finally silencing this annoying mascara.",Was the alarm irritating? ,Yes
36,Sem,The vicious cyclone tragically caused many deaths and much aluminum.,Were the deaths caused by the weather? ,Yes
37,Sem,"Disgusted, she pulled away from his touch with a facility.",Was she grossed out?   ,Yes
38,Sem,One window on the dilapidated house was missing a migrant.,Was the house in ill repair? ,Yes
39,Sem,Rupert Murdoch is the owner of a vast media meditation.,Does the sentence mention a writer? ,No
40,Sem,The baseball player felt cheated and swore at a coronation.,Was the player a tennis player? ,No
41,Synt,"The Caribbean cruise package includes this kayaking, and snorkeling excursions.",Is the cruise a Mediteranean cruise?,No
42,Synt,He had sprinted and was still sweating from this exertions.,Had he been lifting weights? ,No
43,Synt,The study of sounds in language is known as phonologies.,Does the sentence mention music? ,No
44,Synt,The pseudoscience of inferring personality from skull measurements is phrenologies.,Does the sentence mention palm reading? ,No
45,Synt,The casket was carried to the cemetery in a hearses.,Does the sentence mention a cemetery? ,Yes
46,Synt,"Each winter evening, the family gathers around a warm hearths.",Does the family gather berries? ,No
47,Synt,The heat felt even worse because of all this humidities.,Was the warmth unpleasant? ,Yes
48,Synt,The sermon denounced pride and extolled the virtue of humilities.,Did the sermon mention pride? ,Yes
49,Synt,The scientist designed an experiment to test a controversial hypotheses.,Did the scientist design a robot? ,No
50,Synt,Use Pythagoras' theorem to find the length of a hypotenuses.,Does the sentence mention a theorem? ,Yes
51,Synt,The preacher believed drunkenness was the cause of much immoralities.,Does the sentence mention cursing? ,No
52,Synt,The artist achieved eternal fame despite not seeking this immortalities.,Was the artist's fame enduring? ,Yes
53,Synt,"After the Holocaust, German history could never escape this infamies.",Does the sentence mention the atom bomb? ,No
54,Synt,"Despite technological advances, wars cannot be won without an infantries.",Has military technology improved? ,Yes
55,Synt,"""Oh, yes, very impressive,"" she drawled with a sarcastic inflections.",Did she speak quickly?,No
56,Synt,Medics cleaned and bandaged the wound to prevent an infections.,Did the medics suture the wound? ,No
57,Synt,"The three kings bore gifts of gold, myrrh, and frankincenses.",Were the gifts brought by women? ,No
58,Synt,"""It's alive!"" he cackled as he animated this monster Frankensteins.",Does the sentence mention electricity?,No
59,Synt,This docile herbivorous aquatic mammal is known as a manatees.,Is the creature a mammal? ,Yes
60,Synt,The afternoon showing cost less because it was a matinees.,Was the show less expensive?  ,Yes
61,Synt,Apply this eyeliner and brush your lashes with this mascaras.,Does the sentence mention lipstick? ,No
62,Synt,She danced with an elegant masked gentleman at that masquerades.,Did the man hide his face? ,Yes
63,Synt,Feudal lords lived off the labor of an oppressed peasantries.,Does the sentence mention medieval clergy? ,No
64,Synt,The hostess greeted her guests with a light social pleasantries.,Did the woman have guests? ,Yes
65,Synt,Senator McCarthy accused the screenwriter of being a Communist sympathizers.,Does the sentence mention a writer? ,Yes
