ItemNum,Condition,Sentence,Question,Answer
1,Control,Someone who has fought in a war is a veteran.,Does the sentence mention a war? ,Yes
2,Control,The woman brought her sick pet dog to a veterinarian.,,
3,Control,The vintage wedding dress was big and required an alteration.,,
4,Control,Mediators prevented the dispute from escalating into a violent altercation.,,
5,Control,The storyteller could turn any incident into an amusing anecdote.,,
6,Control,She saved him from the poison by administering an antidote.,Did she save him by amputating? ,No
7,Control,Clownfish have evolved invulnerability to the poison tentacles of anemones.,Are the fish specially adapted? ,Yes
8,Control,The upscale apartment was complete with all these modern amenities.,Did the residence need an upgrade? ,No
9,Control,The flooded river fertilized the fields with a rich sediment.,Did the river overflow its banks? ,Yes
10,Control,Political corruption and economic hardship fueled a growing anti-government sentiment.,Were people increasingly pro-government? ,No
11,Control,Up on the tree branch perched a bright red cardinal.,Does the sentence mention a tree? ,Yes
12,Control,There is a beanbag toss game booth at this carnival.,Were the beanbags for a game? ,Yes
13,Control,The reagents reacted faster in the presence of a catalyst.,Was the reaction rate increased? ,Yes
14,Control,"After hours of playing, the guitarist's fingertips developed a callus.",Did the musician play the guitar? ,Yes
15,Control,Pikemen can be an effective defense against a charging cavalry.,Does the sentence mention a fish? ,No
16,Control,The dentist congratulated me on not having a single cavity.,Did the dentist scold me? ,No
17,Control,After my root canal the dentist prescribed a pain medication.,Did the dentist write a prescription? ,Yes
18,Control,The monk sat quietly and fell into a deep meditation.,Was the monk seated? ,Yes
19,Control,Her grandmother's pennies inspired her to start a coin collection.,,
20,Control,The teacher interrupted his sentence to make a grammatical correction.,Was he interrupted by a fire alarm? ,No
21,Control,An intense tension headache can be mistaken for a migraine.,Does the sentence mention a headache? ,Yes
22,Control,Harvesting crops is often the job of a seasonal migrant.,,
23,Control,"The zoo had two giraffes, an elephant, and a rhino.",Does the sentence mention a zebra? ,No
24,Control,The child wore a glittery crown with a pink rhinestone.,,
25,Control,The cause of death must be determined by a coroner.,Was the reason for the death already known? ,No
26,Control,His office is down at the end of this corridor.,,
27,Control,Statisticians emphasize that causation is not implied by a correlation.,Does the sentence mention statistics? ,Yes
28,Control,The king knelt to be crowned at an official coronation.,Was the monarch crowned while standing? ,No
29,Control,The moth attracted a mate by releasing a potent pheromone.,Did the insect attract a mate? ,Yes
30,Control,The archeologists found the mummy of a young Egyptian pharaoh.,Was the mummy discovered by a paleontologist? ,No
31,Control,The student went to medical school to become a physician.,,
32,Control,A new gravitational theory was proposed by an eminent physicist.,,
33,Control,Blinking causes a momentary pupil contraction followed by a dilation.,Does the sentence mention the iris? ,No
34,Control,The bleach is too concentrated and requires a 1-in-5 dilution.,,
35,Control,"The whining alarm shut off, finally silencing this annoying distraction.",Was the alarm irritating? ,Yes
36,Control,The vicious cyclone tragically caused many deaths and much destruction.,Were the deaths caused by the weather? ,Yes
37,Control,"Disgusted, she pulled away from his touch with a shudder.",Was she grossed out?   ,Yes
38,Control,One window on the dilapidated house was missing a shutter.,Was the house in ill repair? ,Yes
39,Control,Rupert Murdoch is the owner of a vast media empire.,Does the sentence mention a writer? ,Yes
40,Control,The baseball player felt cheated and swore at an umpire.,Was the player a tennis player? ,No
121,Sem,The celebrating couple joyfully popped open a bottle of armaments.,,
122,Sem,"The slogan ""change"" was a focus of that presidential damnation.",Was the focal point a specific policy? ,No
123,Sem,A syllogism is a common form of a deductive peasantry.,Does the sentence mention a reptile? ,No
124,Sem,The napalm turned the luscious forest into a fiery attitude.,,
125,Sem,I blacked out and was confused when I regained duration.,,
126,Sem,"After she deceived her mother, she had a guilty musket.",Was she proud of her trickery? ,No
127,Sem,The sudden change in protocol had caused all this inflection.,Was the transition gradual? ,No
128,Sem,The Big Dipper may perhaps be the most famous immunity.,,
129,Sem,The herd of cows was out grazing in an altercation.,,
130,Sem,The congregation listens to a sermon delivered by an escalation.,,
131,Sem,A soldier fighting for the highest bidder is an apostrophe.,Is the fighter motivated by nationalism? ,No
132,Sem,The devout Christian girl travelled to India as an admission.,,
133,Sem,That white dog with little black spots is an umpire.,,
134,Sem,"Once Faust signed, he was doomed to this eternal inference.",Was his fate permanent? ,Yes
135,Sem,The crowded urban neighborhood had a very high population missionary.,Was the district basically deserted? ,No
136,Sem,I control my fate; I don't have a predetermined embargo.,,
137,Sem,"She didn't answer the phone, so I left a tapestry.",,
138,Sem,My back was so tense I really needed a cartridge.,,
139,Sem,The president of the college handed each graduate an infection.,,
140,Sem,The ambassador who negotiated the deal was a skilled constellation.,Was the bargain worked out by a senator?  ,No
141,Sem,The retiree found he soon tired of all this phonology.,Did he retire because he was tired? ,No
142,Sem,His personality was dramatically altered after acquiring this brain rhino.,,
143,Sem,The low intensity workout compensated by having a long Frankenstein.,Was the exercise intense? ,No
144,Sem,"He idolized her, and her self-esteem benefited from this synthesizer.",Did he like her? ,Yes
145,Sem,Yuan emperors were Mongolian because Kublai Khan founded this inebriation.,Were the rulers Mongolian? ,Yes
146,Sem,That grenade explodes stronger than a stick of this infamy.,Is that an explosive weapon? ,Yes
147,Sem,"The contraction for ""it is"" needs to include a jugular.","Is ""it's"" a valid contraction? ",Yes
148,Sem,The doomsday preacher urged repentance and warned of a pharaoh.,,
